,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Population Prospects 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"File FERT/1: Births (both sexes combined) by region, subregion and country, 1950-2100 (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates, 1950 - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP/DB/WPP/Rev.2019/FERT/F01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright ? 2019 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects 2019, Online Edition.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
1,Estimates,WORLD,,900,World,0,490291.785,514362.273,561400.825,598599.363,612104.175,608084.113,647106.919,697950.24,669030.915,660106.261,666529.348,686395.224,697771.107,701277.931,697667.775,696097.145,698097.278,701021.554,703586.323,703038.916,699840.41,694420.735,688958.882,682902.045,676768.775,669922.891,661160.115,651221.014,640450.166,629549.242
2,Estimates,UN development groups,a,1803,Label/Separator,900,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн,бн
3,Estimates,More developed regions,b,901,Development Group,1803,93814.379,95046.288,91755.265,84975.626,82451.848,79023.605,79126.218,78301.35,71425.379,66063.376,66013.631,69917.133,69132.585,66942.06,65007.478,63306.687,62500.718,62779.161,63245.814,63089.054,62283.019,61349.868,60721.968,60575.625,60726.172,60844.449,60702.984,60311.2,59895.352,59660.662
