"LocID","Location","VarID","Variant","Time","MidPeriod","SexID","Sex","AgeGrp","AgeGrpStart","AgeGrpSpan","mx","qx","px","lx","dx","Lx","Sx","Tx","ex","ax"
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","0",0,1,0.17130765,0.15367,0.84633,1e+05,15367,89704,0.83159331,5439883,54.399,0.33
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","1-4",1,4,0.01549651,0.05970836,0.94029164,84633,5053,326093,0.94931024,5350179,63.216,1.53835
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","5-9",5,5,0.00290134,0.01439081,0.98560919,79580,1145,394720,0.99040188,5024087,63.133,2.224556
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","10-14",10,5,0.00105484,0.00525753,0.99474247,78434,412,390931,0.99327293,4629367,59.022,1.990653
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","15-19",15,5,0.00203088,0.01010732,0.98989269,78022,789,388302,0.98740721,4238435,54.324,2.706126
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","20-24",20,5,0.00299443,0.01486531,0.98513469,77234,1148,383412,0.98365822,3850134,49.851,2.599716
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","25-29",25,5,0.00354751,0.01758458,0.98241542,76085,1338,377146,0.98147537,3466722,45.564,2.547783
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","30-34",30,5,0.00393259,0.01947472,0.98052528,74747,1456,370160,0.97923348,3089576,41.334,2.542234
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","35-39",35,5,0.00450692,0.02228946,0.97771054,73292,1634,362473,0.97562315,2719416,37.104,2.559898
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","40-44",40,5,0.00544568,0.02687473,0.97312527,71658,1926,353637,0.96966016,2356943,32.891,2.583331
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","45-49",45,5,0.00701205,0.03448162,0.96551838,69732,2404,342908,0.95982883,2003306,28.728,2.606839
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","50-54",50,5,0.00959957,0.0469275,0.9530725,67328,3160,329133,0.94406314,1660399,24.661,2.624047
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","55-59",55,5,0.01379652,0.06680675,0.93319325,64168,4287,310722,0.91786423,1331266,20.746,2.639335
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","60-64",60,5,0.0211349,0.10066025,0.89933975,59881,6028,285201,0.87366805,1020544,17.043,2.643063
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","65-69",65,5,0.03392637,0.15697045,0.84302955,53854,8453,249171,0.80647793,735344,13.654,2.622465
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","70-74",70,5,0.05345671,0.23660962,0.76339038,45400,10742,200951,0.7148167,486173,10.709,2.574871
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","75-79",75,5,0.08278574,0.34311024,0.65688976,34658,11892,143643,0.59760481,285223,8.23,2.5068
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","80-84",80,5,0.12573251,0.47407532,0.52592468,22767,10793,85842,0.46244261,141580,6.219,2.406545
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","85-89",85,5,0.18587176,0.61623657,0.38376343,11974,7379,39697,0.32634503,55738,4.655,2.266286
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","90-94",90,5,0.26529151,0.74794698,0.25205302,4595,3437,12955,0.20936786,16041,3.491,2.084473
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","95-99",95,5,0.36288525,0.84983555,0.15016445,1158,984,2712,0.12118218,3086,2.665,1.872201
8,"Albania",2,"Medium","1950-1955",1953,1,"Male","100+",100,-1,0.46500935,NA,NA,174,174,374,NA,374,2.15,2.150494
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","0",0,1,0.14841845,0.13536,0.86464,1e+05,13536,91202,0.85074693,5610335,56.103,0.35
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","1-4",1,4,0.0142549,0.05509329,0.94490671,86464,4764,334172,0.95141038,5519133,63.832,1.547198
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","5-9",5,5,0.00339228,0.01680373,0.98319627,81700,1373,404705,0.98808381,5184962,63.463,2.23402
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","10-14",10,5,0.00154543,0.00769337,0.99230663,80328,618,399882,0.99110232,4780257,59.51,2.15931
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","15-19",15,5,0.00238726,0.01186971,0.98813029,79710,946,396324,0.98580293,4380375,54.954,2.649801
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","20-24",20,5,0.00330521,0.01639513,0.98360487,78763,1291,390698,0.98223152,3984051,50.582,2.584218
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","25-29",25,5,0.00382493,0.01894668,0.98105333,77472,1468,383755,0.97999054,3593353,46.383,2.544003
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","30-34",30,5,0.00425969,0.02107738,0.97892262,76004,1602,376077,0.97770653,3209598,42.229,2.537687
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","35-39",35,5,0.00478101,0.02362753,0.97637247,74402,1758,367693,0.97477018,2833521,38.084,2.543289
8,"Albania",2,"Medium","1950-1955",1953,2,"Female","40-44",40,5,0.00548964,0.02708504,0.97291496,72644,1968,358416,0.97040768,2465828,33.944,2.557467
