"country_code","name","1950-1955","1955-1960","1960-1965","1965-1970","1970-1975","1975-1980","1980-1985","1985-1990","1990-1995","1995-2000","2000-2005","2005-2010","2010-2015","2015-2020","2020-2025","2025-2030","2030-2035","2035-2040","2040-2045","2045-2050","2050-2055","2055-2060","2060-2065","2065-2070","2070-2075","2075-2080","2080-2085","2085-2090","2090-2095","2095-2100"
8,"Albania",1.058,1.059,1.059,1.06,1.062,1.07,1.085,1.079,1.079,1.089,1.117,1.125,1.101,1.086,1.072,1.064,1.06,1.059,1.059,1.059,1.059,1.059,1.058,1.058,1.058,1.058,1.058,1.058,1.058,1.059
51,"Armenia",1.065,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.072,1.144,1.17,1.156,1.138,1.113,1.09,1.073,1.066,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064
31,"Azerbaijan",1.064,1.064,1.064,1.063,1.064,1.064,1.064,1.065,1.076,1.122,1.163,1.168,1.158,1.14,1.121,1.101,1.083,1.071,1.066,1.065,1.064,1.064,1.063,1.063,1.064,1.064,1.064,1.064,1.064,1.064
156,"China",1.061,1.061,1.062,1.063,1.064,1.068,1.076,1.098,1.132,1.161,1.175,1.176,1.164,1.14,1.112,1.088,1.072,1.065,1.062,1.061,1.061,1.061,1.061,1.06,1.061,1.061,1.061,1.061,1.061,1.061
268,"Georgia",1.063,1.063,1.063,1.063,1.064,1.067,1.071,1.078,1.09,1.105,1.106,1.092,1.081,1.072,1.067,1.065,1.065,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064
344,"Hong Kong, SAR of China",1.094,1.086,1.069,1.066,1.065,1.071,1.064,1.067,1.073,1.082,1.084,1.123,1.124,1.076,1.077,1.077,1.077,1.078,1.078,1.078,1.078,1.078,1.078,1.078,1.077,1.077,1.078,1.078,1.078,1.078
356,"India",1.051,1.051,1.052,1.053,1.056,1.062,1.068,1.068,1.076,1.091,1.093,1.094,1.093,1.086,1.075,1.065,1.058,1.055,1.053,1.052,1.052,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051,1.051
410,"Republic of Korea",1.063,1.063,1.062,1.062,1.061,1.061,1.074,1.113,1.145,1.107,1.092,1.069,1.058,1.055,1.058,1.06,1.061,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062
499,"Montenegro",1.056,1.056,1.055,1.055,1.055,1.055,1.06,1.075,1.09,1.096,1.097,1.097,1.088,1.08,1.071,1.063,1.059,1.057,1.057,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056
158,"Taiwan, Province of China",1.054,1.057,1.064,1.065,1.064,1.067,1.069,1.08,1.094,1.088,1.097,1.094,1.079,1.076,1.069,1.065,1.063,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062,1.062
788,"Tunisia",1.047,1.047,1.047,1.047,1.053,1.057,1.057,1.067,1.078,1.078,1.083,1.08,1.068,1.058,1.052,1.048,1.047,1.046,1.046,1.046,1.046,1.046,1.046,1.046,1.046,1.046,1.046,1.046,1.046,1.046
704,"Viet Nam",1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.063,1.065,1.078,1.109,1.122,1.121,1.111,1.098,1.085,1.075,1.07,1.067,1.065,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064,1.064
