"country","Year","SRB"
"Albania","1950","105.84"
"Albania","1955","105.88"
"Albania","1960","105.9"
"Albania","1965","106"
"Albania","1970","106.2"
"Albania","1975","106.96"
"Albania","1980","108.54"
"Albania","1985","107.86"
"Albania","1990","107.92"
"Albania","1995","108.88"
"Albania","2000","111.74"
"Albania","2005","112.46"
"Albania","2010","110.1"
"Albania","2015","108.62"
"Albania","2020","107.2"
"Albania","2025","106.36"
"Albania","2030","106.04"
"Albania","2035","105.92"
"Albania","2040","105.88"
"Albania","2045","105.88"
"Albania","2050","105.86"
"Albania","2055","105.86"
"Albania","2060","105.8"
"Albania","2065","105.8"
"Albania","2070","105.8"
"Albania","2075","105.8"
"Albania","2080","105.8"
"Albania","2085","105.8"
"Albania","2090","105.8"
"Albania","2095","105.9"
"Armenia","1950","106.48"
"Armenia","1955","106.42"
"Armenia","1960","106.4"
"Armenia","1965","106.4"
"Armenia","1970","106.4"
"Armenia","1975","106.4"
"Armenia","1980","106.4"
"Armenia","1985","106.36"
"Armenia","1990","107.24"
"Armenia","1995","114.36"
"Armenia","2000","117.04"
"Armenia","2005","115.6"
"Armenia","2010","113.78"
"Armenia","2015","111.32"
"Armenia","2020","109.02"
"Armenia","2025","107.3"
"Armenia","2030","106.6"
"Armenia","2035","106.44"
"Armenia","2040","106.4"
"Armenia","2045","106.4"
"Armenia","2050","106.4"
"Armenia","2055","106.4"
"Armenia","2060","106.4"
"Armenia","2065","106.4"
"Armenia","2070","106.4"
"Armenia","2075","106.4"
"Armenia","2080","106.4"
"Armenia","2085","106.4"
"Armenia","2090","106.4"
"Armenia","2095","106.4"
"Azerbaijan","1950","106.4"
"Azerbaijan","1955","106.4"
"Azerbaijan","1960","106.4"
"Azerbaijan","1965","106.32"
"Azerbaijan","1970","106.4"
"Azerbaijan","1975","106.4"
"Azerbaijan","1980","106.4"
"Azerbaijan","1985","106.48"
"Azerbaijan","1990","107.6"
"Azerbaijan","1995","112.22"
"Azerbaijan","2000","116.26"
"Azerbaijan","2005","116.78"
"Azerbaijan","2010","115.84"
"Azerbaijan","2015","114.02"
"Azerbaijan","2020","112.09"
"Azerbaijan","2025","110.1"
"Azerbaijan","2030","108.28"
"Azerbaijan","2035","107.12"
"Azerbaijan","2040","106.62"
"Azerbaijan","2045","106.46"
"Azerbaijan","2050","106.4"
"Azerbaijan","2055","106.38"
"Azerbaijan","2060","106.34"
"Azerbaijan","2065","106.34"
"Azerbaijan","2070","106.4"
"Azerbaijan","2075","106.4"
"Azerbaijan","2080","106.4"
"Azerbaijan","2085","106.4"
"Azerbaijan","2090","106.4"
"Azerbaijan","2095","106.4"
"China","1950","106.1"
"China","1955","106.1"
"China","1960","106.16"
"China","1965","106.26"
"China","1970","106.42"
"China","1975","106.8"
"China","1980","107.56"
"China","1985","109.78"
"China","1990","113.2"
"China","1995","116.12"
"China","2000","117.54"
"China","2005","117.64"
"China","2010","116.36"
"China","2015","113.96"
"China","2020","111.19"
"China","2025","108.82"
"China","2030","107.16"
"China","2035","106.52"
"China","2040","106.24"
"China","2045","106.14"
"China","2050","106.1"
"China","2055","106.1"
"China","2060","106.1"
"China","2065","106.02"
"China","2070","106.1"
"China","2075","106.1"
"China","2080","106.1"
"China","2085","106.1"
"China","2090","106.1"
"China","2095","106.1"
"Georgia","1950","106.3"
"Georgia","1955","106.3"
"Georgia","1960","106.3"
"Georgia","1965","106.3"
"Georgia","1970","106.42"
"Georgia","1975","106.72"
"Georgia","1980","107.12"
"Georgia","1985","107.8"
"Georgia","1990","108.96"
"Georgia","1995","110.52"
"Georgia","2000","110.64"
"Georgia","2005","109.2"
"Georgia","2010","108.06"
"Georgia","2015","107.16"
"Georgia","2020","106.72"
"Georgia","2025","106.54"
"Georgia","2030","106.46"
"Georgia","2035","106.4"
"Georgia","2040","106.4"
"Georgia","2045","106.4"
"Georgia","2050","106.4"
"Georgia","2055","106.4"
"Georgia","2060","106.4"
"Georgia","2065","106.4"
"Georgia","2070","106.4"
"Georgia","2075","106.4"
"Georgia","2080","106.4"
"Georgia","2085","106.4"
"Georgia","2090","106.4"
"Georgia","2095","106.4"
"Hong Kong, SAR of China","1950","109.4"
"Hong Kong, SAR of China","1955","108.6"
"Hong Kong, SAR of China","1960","106.86"
"Hong Kong, SAR of China","1965","106.62"
"Hong Kong, SAR of China","1970","106.54"
"Hong Kong, SAR of China","1975","107.14"
"Hong Kong, SAR of China","1980","106.44"
"Hong Kong, SAR of China","1985","106.66"
"Hong Kong, SAR of China","1990","107.34"
"Hong Kong, SAR of China","1995","108.22"
"Hong Kong, SAR of China","2000","108.38"
"Hong Kong, SAR of China","2005","112.34"
"Hong Kong, SAR of China","2010","112.44"
"Hong Kong, SAR of China","2015","107.64"
"Hong Kong, SAR of China","2020","107.7"
"Hong Kong, SAR of China","2025","107.7"
"Hong Kong, SAR of China","2030","107.72"
"Hong Kong, SAR of China","2035","107.76"
"Hong Kong, SAR of China","2040","107.8"
"Hong Kong, SAR of China","2045","107.8"
"Hong Kong, SAR of China","2050","107.8"
"Hong Kong, SAR of China","2055","107.8"
"Hong Kong, SAR of China","2060","107.78"
"Hong Kong, SAR of China","2065","107.78"
"Hong Kong, SAR of China","2070","107.7"
"Hong Kong, SAR of China","2075","107.72"
"Hong Kong, SAR of China","2080","107.76"
"Hong Kong, SAR of China","2085","107.8"
"Hong Kong, SAR of China","2090","107.8"
"Hong Kong, SAR of China","2095","107.8"
"India","1950","105.14"
"India","1955","105.14"
"India","1960","105.2"
"India","1965","105.3"
"India","1970","105.6"
"India","1975","106.22"
"India","1980","106.82"
"India","1985","106.82"
"India","1990","107.62"
"India","1995","109.14"
"India","2000","109.32"
"India","2005","109.38"
"India","2010","109.3"
"India","2015","108.6"
"India","2020","107.46"
"India","2025","106.48"
"India","2030","105.8"
"India","2035","105.46"
"India","2040","105.26"
"India","2045","105.2"
"India","2050","105.18"
"India","2055","105.12"
"India","2060","105.14"
"India","2065","105.1"
"India","2070","105.1"
"India","2075","105.1"
"India","2080","105.1"
"India","2085","105.1"
"India","2090","105.1"
"India","2095","105.12"
"Republic of Korea","1950","106.28"
"Republic of Korea","1955","106.26"
"Republic of Korea","1960","106.2"
"Republic of Korea","1965","106.18"
"Republic of Korea","1970","106.1"
"Republic of Korea","1975","106.1"
"Republic of Korea","1980","107.44"
"Republic of Korea","1985","111.32"
"Republic of Korea","1990","114.54"
"Republic of Korea","1995","110.66"
"Republic of Korea","2000","109.2"
"Republic of Korea","2005","106.86"
"Republic of Korea","2010","105.76"
"Republic of Korea","2015","105.54"
"Republic of Korea","2020","105.79"
"Republic of Korea","2025","106"
"Republic of Korea","2030","106.1"
"Republic of Korea","2035","106.16"
"Republic of Korea","2040","106.2"
"Republic of Korea","2045","106.2"
"Republic of Korea","2050","106.2"
"Republic of Korea","2055","106.2"
"Republic of Korea","2060","106.2"
"Republic of Korea","2065","106.2"
"Republic of Korea","2070","106.2"
"Republic of Korea","2075","106.2"
"Republic of Korea","2080","106.2"
"Republic of Korea","2085","106.2"
"Republic of Korea","2090","106.2"
"Republic of Korea","2095","106.2"
"Montenegro","1950","105.6"
"Montenegro","1955","105.58"
"Montenegro","1960","105.5"
"Montenegro","1965","105.5"
"Montenegro","1970","105.5"
"Montenegro","1975","105.5"
"Montenegro","1980","106.02"
"Montenegro","1985","107.46"
"Montenegro","1990","108.96"
"Montenegro","1995","109.58"
"Montenegro","2000","109.72"
"Montenegro","2005","109.74"
"Montenegro","2010","108.82"
"Montenegro","2015","108"
"Montenegro","2020","107.06"
"Montenegro","2025","106.34"
"Montenegro","2030","105.92"
"Montenegro","2035","105.74"
"Montenegro","2040","105.7"
"Montenegro","2045","105.64"
"Montenegro","2050","105.62"
"Montenegro","2055","105.6"
"Montenegro","2060","105.6"
"Montenegro","2065","105.6"
"Montenegro","2070","105.6"
"Montenegro","2075","105.6"
"Montenegro","2080","105.6"
"Montenegro","2085","105.6"
"Montenegro","2090","105.6"
"Montenegro","2095","105.6"
"Taiwan, Province of China","1950","105.36"
"Taiwan, Province of China","1955","105.74"
"Taiwan, Province of China","1960","106.38"
"Taiwan, Province of China","1965","106.46"
"Taiwan, Province of China","1970","106.42"
"Taiwan, Province of China","1975","106.68"
