"year","both.sex","girl","boy"
1980,261.005551,126.0111,134.99445
1985,295.161401,141.730718,153.430685
1990,261.912262,124.789901,137.122361
1995,247.126318,116.779484,130.346834
2000,238.736567,112.525298,126.211271
2005,236.556237,111.38445,125.171787
2010,227.903198,107.466926,120.436272
2015,221.185474,104.958373,116.2271
2020,210.979405,100.971499,110.007906
2025,202.635728,97.692449,104.943278
2030,195.695896,94.817088,100.878806
2035,188.213325,91.391903,96.82142
2040,181.790215,88.373046,93.417166
2045,176.094961,85.646733,90.448227
2050,170.97773,83.161617,87.816115
2055,165.256671,80.403603,84.853066
2060,159.493629,77.599502,81.894128
2065,153.758287,74.820762,78.937527
2070,148.513632,72.253876,76.259754
2075,144.196092,70.152297,74.043794
2080,139.901621,68.062526,71.839095
2085,135.785361,66.060224,69.725137
2090,131.517597,63.983828,67.53377
2095,134.152189,65.265864,68.886323
