"year","both.sex","girl","boy"
1980,261.736444,127.676315,134.060131
1985,296.236359,144.505542,151.730818
1990,263.030151,128.30739,134.722759
1995,248.539915,121.238982,127.300931
2000,240.684834,117.407236,123.277597
2005,239.37533,116.768453,122.606877
2010,231.835701,113.090586,118.745115
2015,226.443033,110.460016,115.983016
2020,217.54613,106.120062,111.426065
2025,210.32179,102.595995,107.725794
2030,204.25513,99.636651,104.618481
2035,197.289036,96.238555,101.050481
2040,191.043118,93.191765,97.851353
2045,185.224442,90.353386,94.871055
2050,179.862584,87.737846,92.124739
2055,173.879276,84.81916,89.060117
2060,167.932702,81.918391,86.014312
2065,162.078212,79.062541,83.015668
2070,156.723385,76.450432,80.272956
2075,152.278904,74.282392,77.996512
2080,147.803284,72.099165,75.704124
2085,143.495485,69.997797,73.497687
2090,139.060106,67.834196,71.225905
2095,141.785684,69.163748,72.621933
