"country","country_code","year","both.sex","girl","boy"
"Albania","8","1950","265.472","129.499","135.974"
"Albania","8","1955","317.225","154.744","162.481"
"Albania","8","1960","347.782","169.65","178.132"
"Albania","8","1965","341.585","166.627","174.958"
"Albania","8","1970","348.053","169.782","178.271"
"Albania","8","1975","355.828","173.574","182.253"
"Albania","8","1980","376.57","183.692","192.877"
"Albania","8","1985","409.383","199.699","209.684"
"Albania","8","1990","357.698","174.487","183.211"
"Albania","8","1995","285.871","139.449","146.422"
"Albania","8","2000","221.239","107.921","113.317"
"Albania","8","2005","175.8","85.756","90.044"
"Albania","8","2010","178.917","87.277","91.641"
"Albania","8","2015","169.336","82.603","86.733"
"Albania","8","2020","155.513","75.86","79.653"
"Albania","8","2025","134.258","65.492","68.766"
"Albania","8","2030","116.054","56.612","59.442"
"Albania","8","2035","105.899","51.658","54.241"
"Albania","8","2040","100.913","49.226","51.687"
"Albania","8","2045","96.286","46.969","49.317"
"Albania","8","2050","89.057","43.443","45.615"
"Albania","8","2055","79.881","38.966","40.915"
"Albania","8","2060","71.215","34.739","36.476"
"Albania","8","2065","64.379","31.404","32.974"
"Albania","8","2070","59.28","28.917","30.363"
"Albania","8","2075","54.768","26.716","28.052"
"Albania","8","2080","49.848","24.316","25.532"
"Albania","8","2085","44.004","21.465","22.539"
"Albania","8","2090","38.103","18.587","19.516"
"Albania","8","2095","42.729","20.843","21.885"
"Azerbaijan","31","1950","622.716","303.764","318.952"
"Azerbaijan","31","1955","805.213","392.787","412.426"
"Azerbaijan","31","1960","956.431","466.552","489.879"
"Azerbaijan","31","1965","874.375","426.524","447.85"
"Azerbaijan","31","1970","783.693","382.289","401.404"
"Azerbaijan","31","1975","780.116","380.545","399.572"
"Azerbaijan","31","1980","891.684","434.968","456.716"
"Azerbaijan","31","1985","1031.822","503.328","528.494"
"Azerbaijan","31","1990","992.621","484.205","508.415"
"Azerbaijan","31","1995","780.686","380.823","399.864"
"Azerbaijan","31","2000","695.021","339.035","355.986"
"Azerbaijan","31","2005","743.235","362.554","380.681"
"Azerbaijan","31","2010","899.694","438.875","460.819"
"Azerbaijan","31","2015","861.637","420.311","441.326"
"Azerbaijan","31","2020","748.134","364.943","383.19"
"Azerbaijan","31","2025","686.701","334.976","351.725"
"Azerbaijan","31","2030","692.286","337.701","354.586"
"Azerbaijan","31","2035","703.423","343.133","360.29"
"Azerbaijan","31","2040","681.752","332.562","349.19"
"Azerbaijan","31","2045","642.894","313.607","329.287"
"Azerbaijan","31","2050","610.158","297.638","312.52"
"Azerbaijan","31","2055","588.645","287.144","301.501"
"Azerbaijan","31","2060","574.877","280.428","294.449"
"Azerbaijan","31","2065","563.112","274.689","288.423"
"Azerbaijan","31","2070","547.773","267.207","280.567"
"Azerbaijan","31","2075","528.381","257.747","270.634"
"Azerbaijan","31","2080","510.088","248.824","261.265"
"Azerbaijan","31","2085","495.189","241.556","253.633"
"Azerbaijan","31","2090","483.151","235.683","247.467"
"Azerbaijan","31","2095","491.981","239.991","251.99"
