"country","country_code","year","both.sex","girl","boy"
"Albania","8","1950","265.472","128.995","136.477"
"Albania","8","1955","317.225","154.068","163.158"
"Albania","8","1960","347.782","168.908","178.874"
"Albania","8","1965","341.539","165.796","175.743"
"Albania","8","1970","347.736","168.64","179.096"
"Albania","8","1975","355.024","171.509","183.515"
"Albania","8","1980","375.28","179.99","195.29"
"Albania","8","1985","407.646","196.078","211.568"
"Albania","8","1990","355.634","171.06","184.574"
"Albania","8","1995","283.261","135.597","147.665"
"Albania","8","2000","217.802","102.882","114.919"
"Albania","8","2005","171.616","80.76","90.856"
"Albania","8","2010","173.582","82.619","90.963"
"Albania","8","2015","163.819","78.533","85.286"
"Albania","8","2020","157.162","75.85","81.312"
"Albania","8","2025","134.358","65.096","69.262"
"Albania","8","2030","114.904","55.778","59.125"
"Albania","8","2035","104.394","50.701","53.693"
"Albania","8","2040","100.372","48.748","51.624"
"Albania","8","2045","97.382","47.296","50.086"
"Albania","8","2050","87.011","42.259","44.752"
"Albania","8","2055","78.652","38.199","40.453"
"Albania","8","2060","70.173","34.098","36.075"
"Albania","8","2065","63.435","30.823","32.611"
"Albania","8","2070","58.469","28.411","30.059"
"Albania","8","2075","53.985","26.232","27.753"
"Albania","8","2080","48.879","23.751","25.128"
"Albania","8","2085","42.827","20.81","22.017"
"Albania","8","2090","36.951","17.955","18.996"
"Albania","8","2095","41.487","20.149","21.338"
"Azerbaijan","31","1950","622.716","301.704","321.013"
"Azerbaijan","31","1955","805.213","390.123","415.091"
"Azerbaijan","31","1960","956.431","463.387","493.044"
"Azerbaijan","31","1965","874.169","423.737","450.432"
"Azerbaijan","31","1970","782.363","379.052","403.311"
"Azerbaijan","31","1975","776.779","376.347","400.433"
"Azerbaijan","31","1980","886.225","429.372","456.852"
"Azerbaijan","31","1985","1024.687","496.217","528.471"
"Azerbaijan","31","1990","985.255","474.593","510.662"
"Azerbaijan","31","1995","773.982","364.742","409.24"
"Azerbaijan","31","2000","687.974","318.065","369.909"
"Azerbaijan","31","2005","734.3","338.699","395.601"
"Azerbaijan","31","2010","885.611","410.385","475.226"
"Azerbaijan","31","2015","840.727","392.863","447.864"
"Azerbaijan","31","2020","755.429","356.166","399.263"
"Azerbaijan","31","2025","683.284","325.218","358.066"
"Azerbaijan","31","2030","682.673","327.736","354.938"
"Azerbaijan","31","2035","693.627","334.924","358.703"
"Azerbaijan","31","2040","678.805","328.56","350.245"
"Azerbaijan","31","2045","647.106","313.369","333.737"
"Azerbaijan","31","2050","589.301","285.514","303.787"
"Azerbaijan","31","2055","572.27","277.263","295.008"
"Azerbaijan","31","2060","562.195","272.513","289.681"
"Azerbaijan","31","2065","552.999","268.056","284.943"
"Azerbaijan","31","2070","537.823","260.573","277.25"
"Azerbaijan","31","2075","517.291","250.625","266.666"
"Azerbaijan","31","2080","496.927","240.759","256.168"
"Azerbaijan","31","2085","480.402","232.753","247.649"
"Azerbaijan","31","2090","468.915","227.188","241.728"
"Azerbaijan","31","2095","476.653","230.937","245.717"
"Armenia","51","1950","249.01","120.586","128.424"
"Armenia","51","1955","345.5","167.393","178.107"
"Armenia","51","1960","359.255","174.058","185.197"
"Armenia","51","1965","295.254","143.05","152.205"
"Armenia","51","1970","308.586","149.509","159.077"
"Armenia","51","1975","345.925","167.599","178.326"
"Armenia","51","1980","389.426","188.675","200.751"
"Armenia","51","1985","401.923","194.73","207.193"
"Armenia","51","1990","308.425","148.854","159.571"
