"country","country_code","year","both.sex","girl","boy"
"Albania","8","1950","265.472","128.995","136.477"
"Albania","8","1955","317.225","154.068","163.158"
"Albania","8","1960","347.782","168.908","178.874"
"Albania","8","1965","341.539","165.796","175.743"
"Albania","8","1970","347.736","168.64","179.096"
"Albania","8","1975","355.024","171.509","183.515"
"Albania","8","1980","375.28","179.99","195.29"
"Albania","8","1985","407.646","196.078","211.568"
"Albania","8","1990","355.634","171.06","184.574"
"Albania","8","1995","283.261","135.597","147.665"
"Albania","8","2000","217.802","102.882","114.919"
"Albania","8","2005","171.616","80.76","90.856"
"Albania","8","2010","173.582","82.619","90.963"
"Albania","8","2015","163.819","78.533","85.286"
"Albania","8","2020","149.678","72.238","77.44"
"Albania","8","2025","127.96","61.996","65.964"
"Albania","8","2030","109.432","53.122","56.31"
"Albania","8","2035","99.257","48.206","51.051"
"Albania","8","2040","94.565","45.927","48.637"
"Albania","8","2045","90.35","43.88","46.469"
"Albania","8","2050","83.434","40.522","42.912"
"Albania","8","2055","74.413","36.14","38.273"
"Albania","8","2060","65.804","31.974","33.829"
"Albania","8","2065","59.04","28.688","30.352"
"Albania","8","2070","54.077","26.277","27.801"
"Albania","8","2075","49.742","24.17","25.572"
"Albania","8","2080","44.984","21.858","23.126"
"Albania","8","2085","39.28","19.087","20.194"
"Albania","8","2090","33.467","16.262","17.205"
"Albania","8","2095","38.002","18.457","19.546"
"Azerbaijan","31","1950","622.716","301.704","321.013"
"Azerbaijan","31","1955","805.213","390.123","415.091"
"Azerbaijan","31","1960","956.431","463.387","493.044"
"Azerbaijan","31","1965","874.169","423.737","450.432"
"Azerbaijan","31","1970","782.363","379.052","403.311"
"Azerbaijan","31","1975","776.779","376.347","400.433"
"Azerbaijan","31","1980","886.225","429.372","456.852"
"Azerbaijan","31","1985","1024.687","496.217","528.471"
"Azerbaijan","31","1990","985.255","474.593","510.662"
"Azerbaijan","31","1995","773.982","364.742","409.24"
"Azerbaijan","31","2000","687.974","318.065","369.909"
"Azerbaijan","31","2005","734.3","338.699","395.601"
"Azerbaijan","31","2010","885.611","410.385","475.226"
"Azerbaijan","31","2015","840.727","392.863","447.864"
"Azerbaijan","31","2020","719.456","339.206","380.25"
"Azerbaijan","31","2025","650.747","309.732","341.015"
"Azerbaijan","31","2030","650.165","312.129","338.036"
"Azerbaijan","31","2035","658","317.721","340.279"
"Azerbaijan","31","2040","635.954","307.819","328.135"
"Azerbaijan","31","2045","597.863","289.522","308.341"
"Azerbaijan","31","2050","565.92","274.186","291.734"
"Azerbaijan","31","2055","545.115","264.106","281.009"
"Azerbaijan","31","2060","531.952","257.854","274.099"
"Azerbaijan","31","2065","520.741","252.419","268.322"
"Azerbaijan","31","2070","506.106","245.206","260.899"
"Azerbaijan","31","2075","487.559","236.221","251.339"
"Azerbaijan","31","2080","470.01","227.718","242.292"
"Azerbaijan","31","2085","455.732","220.8","234.932"
"Azerbaijan","31","2090","444.259","215.242","229.017"
"Azerbaijan","31","2095","452.626","219.295","233.33"
"Armenia","51","1950","249.01","120.586","128.424"
"Armenia","51","1955","345.5","167.393","178.107"
"Armenia","51","1960","359.255","174.058","185.197"
"Armenia","51","1965","295.254","143.05","152.205"
"Armenia","51","1970","308.586","149.509","159.077"
"Armenia","51","1975","345.925","167.599","178.326"
"Armenia","51","1980","389.426","188.675","200.751"
"Armenia","51","1985","401.923","194.73","207.193"
"Armenia","51","1990","308.425","148.854","159.571"
