"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",8,0,87,110.005,134.847,152.543,154.011,160.022,164.988,175.582,192.277,159.019,133.935,105.52,82.394,82.518,80.76,74.162,64.167,55.646,50.755,48.359,46.137,42.644,38.198,33.997,30.681,28.208,26.019,23.633,20.793,17.925
"Albania",8,5,74,82.961,105.879,131.389,149.126,151.882,158.319,163.561,174.442,176.532,155.642,133.327,101.972,77.316,80.837,79.046,72.809,63.185,54.684,49.81,47.425,45.208,41.724,37.284,33.089,29.777,27.308,25.123,22.739,19.899
"Albania",8,10,68,73.098,82.227,105.359,130.874,148.608,151.434,157.946,163.265,163.47,170.562,151.973,130.739,97.563,76.387,79.899,78.301,72.264,62.654,54.162,49.295,46.915,44.7,41.218,36.782,32.59,29.281,26.813,24.627,22.245
"Albania",8,15,56,67.37,72.604,81.918,105.003,130.443,148.201,151.119,157.7,149.309,149.644,161.477,131.739,116.811,95.033,73.882,77.915,76.848,70.823,61.228,52.746,47.887,45.51,43.3,39.822,35.39,31.199,27.894,25.427,23.243
"Albania",8,20,50,55.21,66.647,72.133,81.356,104.399,129.829,147.666,150.707,136.472,126.679,133.843,125.677,119.217,111.106,89.343,69.424,74.65,73.593,67.583,57.998,49.529,44.678,42.304,40.1,36.625,32.197,28.013,24.708,22.244
"Albania",8,25,43,49.115,54.463,66.095,71.499,80.747,103.759,129.21,147.13,124.742,115.546,104.85,105.618,111.075,112.284,104.156,83.888,65.458,70.685,69.635,63.635,54.065,45.605,40.762,38.393,36.193,32.723,28.299,24.117,20.816
"Albania",8,30,37,42.143,48.362,53.951,65.445,70.891,80.18,103.194,128.685,125.393,113.458,100.012,91.85,84.335,105.271,106.453,99.557,80.54,62.145,67.372,66.326,60.34,50.783,42.336,37.5,35.137,32.937,29.475,25.055,20.875
"Albania",8,35,34,36.178,41.416,47.845,53.342,64.804,70.314,79.67,102.709,113.203,117.345,107.842,95.941,82.252,80.155,101.025,103.072,97.066,78.105,59.757,64.981,63.945,57.977,48.439,40.013,35.184,32.827,30.633,27.177,22.763
"Albania",8,40,32,33.145,35.455,40.878,47.191,52.688,64.127,69.722,79.164,92.232,104.998,113.993,100.504,94.176,79.299,77.213,98.582,101.218,95.255,76.373,58.092,63.314,62.293,56.348,46.842,38.437,33.625,31.276,29.089,25.643
"Albania",8,45,24,31.055,32.345,34.868,40.16,46.416,51.935,63.369,69.076,72.095,84.665,102.345,107.52,98.995,91.91,77.138,75.455,97.109,99.764,93.861,75.089,56.902,62.117,61.114,55.204,45.741,37.368,32.577,30.241,28.062
