"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",8,0,87,109.577,134.257,151.875,153.245,158.946,163.026,172.044,188.791,155.697,130.182,100.588,77.477,77.903,76.726,70.57,60.696,52.178,47.323,45.077,43.062,39.735,35.383,31.243,27.974,25.576,23.481,21.182,18.42,15.606
"Albania",8,5,74,82.961,105.467,130.815,148.472,151.125,157.255,161.615,170.926,173.065,152.333,129.587,97.047,72.409,76.231,75.021,69.224,59.72,51.221,46.382,44.147,42.137,38.818,34.471,30.336,27.072,24.678,22.586,20.29,17.528
"Albania",8,10,68,73.098,82.227,104.949,130.302,147.956,150.68,156.884,161.323,159.961,167.1,148.67,127.003,92.644,71.485,75.298,74.28,68.682,59.191,50.702,45.869,43.638,41.63,38.313,33.97,29.838,26.577,24.184,22.091,19.797
"Albania",8,15,56,67.37,72.604,81.918,104.595,129.873,147.551,150.367,156.64,147.37,146.14,158.019,128.44,113.081,90.12,68.986,73.319,72.831,67.244,57.767,49.289,44.463,42.235,40.232,36.918,32.579,28.448,25.191,22.799,20.708
"Albania",8,20,50,55.21,66.647,72.133,81.356,103.993,129.262,147.019,149.957,135.415,124.745,130.346,122.226,115.924,107.382,84.437,64.534,70.059,69.58,64.007,54.54,46.075,41.257,39.031,37.034,33.723,29.387,25.263,22.007,19.617
"Albania",8,25,43,49.115,54.463,66.095,71.499,80.747,103.356,128.646,146.485,123.995,114.492,102.922,102.131,107.631,108.996,100.437,78.989,60.574,66.099,65.627,60.063,50.61,42.154,37.344,35.122,33.13,29.823,25.491,21.369,18.117
"Albania",8,30,37,42.143,48.362,53.951,65.445,70.891,80.18,102.793,128.123,124.751,112.714,98.962,89.928,80.856,101.833,103.17,95.844,75.648,57.268,62.792,62.323,56.772,47.331,38.889,34.086,31.869,29.877,26.577,22.249,18.129
"Albania",8,35,34,36.178,41.416,47.845,53.342,64.804,70.314,79.67,102.31,112.644,116.706,107.101,94.895,80.336,76.685,97.596,99.797,93.361,73.223,54.889,60.409,59.949,54.415,44.993,36.571,31.774,29.563,27.577,24.282,19.96
"Albania",8,40,32,33.145,35.455,40.878,47.191,52.688,64.127,69.722,79.164,91.836,104.443,113.357,99.766,93.135,77.391,73.757,95.166,97.955,91.562,71.506,53.238,58.755,58.307,52.794,43.403,35.002,30.221,28.017,26.038,22.752
"Albania",8,45,24,31.055,32.345,34.868,40.16,46.416,51.935,63.369,69.076,72.095,84.272,101.794,106.889,98.262,90.875,75.241,72.018,93.711,96.517,90.185,70.243,52.068,57.575,57.142,51.661,42.313,33.943,29.181,26.99,25.018
"Albania",8,50,25,23.123,30.111,31.646,34.072,39.291,45.524,51.103,62.564,64.132,65.167,82.35,99.314,105.166,96.271,88.986,73.763,70.849,92.42,95.248,89,69.211,51.165,56.664,56.252,50.816,41.521,33.196,28.463,26.284
"Albania",8,55,19,23.801,22.194,29.239,30.674,33.072,38.267,44.535,50.222,58.863,55.546,63.416,81.497,98.468,103.065,94.337,87.363,72.552,69.717,91.123,93.982,87.843,68.265,50.389,55.873,55.492,50.116,40.895,32.631,27.932
"Albania",8,60,19,17.686,22.401,21.229,27.871,29.289,31.733,36.955,43.294,47.108,50.588,53.577,62.905,77.533,95.902,100.493,92.16,85.569,71.1,68.387,89.556,92.462,86.486,67.212,49.59,55.055,54.717,49.425,40.312,32.135
"Albania",8,65,16,16.93,16.01,20.759,19.531,25.677,27.177,29.738,34.988,39.809,40.099,47.766,53.346,60.37,74.316,92.143,96.856,89.156,82.938,69.023,66.507,87.294,90.278,84.558,65.772,48.552,53.989,53.719,48.562,39.621
"Albania",8,70,11,13.234,14.317,14,17.929,16.858,22.377,24.036,26.705,30.544,32.289,36.073,45.697,52.437,55.912,69.086,86.13,91.142,84.222,78.632,65.657,63.468,83.589,86.693,81.408,63.458,46.927,52.308,52.152,47.227
