"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",8,0,94,112.891,138.744,157.533,159.728,166.36,172.927,183.571,200.53,165.157,140.12,110.406,87.855,86.29,84.783,77.858,67.379,58.417,53.295,50.791,48.465,44.805,40.139,35.727,32.244,29.65,27.35,24.844,21.863,18.85
"Albania",8,5,84,89.447,108.429,134.816,153.626,157.222,164.663,171.257,182.099,180.595,161.602,139.246,108.907,83.148,84.525,83.047,76.491,66.381,57.447,52.341,49.848,47.531,43.88,39.22,34.815,31.337,28.746,26.452,23.946,20.968
"Albania",8,10,79,83.178,88.824,107.974,134.344,153.065,156.754,164.088,170.797,167.301,172.272,156.517,137.291,103.513,82.219,83.597,82.31,75.947,65.853,56.933,51.834,49.345,47.033,43.385,38.73,34.328,30.854,28.263,25.971,23.467
"Albania",8,15,66,78.442,82.753,88.536,107.627,133.792,152.521,156.2,163.541,149.582,142.16,159.008,141.058,116.981,101.138,79.895,81.755,80.95,74.606,64.535,55.63,50.539,48.058,45.75,42.107,37.456,33.059,29.587,26.999,24.707
"Albania",8,20,58,65.177,77.688,82.205,87.887,106.805,132.948,151.606,155.291,124.433,114.499,118.383,130.576,127.211,111.603,95.785,75.705,78.675,77.887,71.566,61.518,52.632,47.554,45.079,42.776,39.14,34.495,30.103,26.637,24.049
"Albania",8,25,42,57.059,64.361,77.012,81.393,86.979,105.883,131.87,150.376,105.631,103.19,88.449,95.803,127.241,120.416,104.844,90.473,71.843,74.822,74.051,67.755,57.733,48.867,43.802,41.335,39.038,35.407,30.769,26.383,22.919
"Albania",8,30,40,41.231,56.252,63.731,76.177,80.454,86.131,104.93,130.658,107.23,103.004,88.642,77.557,93.456,121.256,114.453,100.156,87.045,68.485,71.472,70.72,64.45,54.457,45.612,40.56,38.101,35.809,32.186,27.556,23.176
"Albania",8,35,36,39.175,40.584,55.656,62.989,75.248,79.627,85.326,103.94,98.904,114.321,96.277,83.879,78.272,88.923,116.608,110.756,97.43,84.404,65.935,68.937,68.208,61.97,52.012,43.199,38.163,35.713,33.429,29.818,25.197
"Albania",8,40,31,35.126,38.454,40.086,54.926,62.126,74.377,78.788,84.451,81.958,111.24,108.721,89.577,82.414,74.912,85.508,113.657,108.501,95.309,82.397,64.052,67.07,66.367,60.175,50.264,41.487,36.474,34.037,31.765,28.169
"Albania",8,45,25,30.061,34.307,37.838,39.399,53.937,61.166,73.292,77.707,69.297,93.378,106.726,101.94,91.07,79.621,72.265,83.217,111.574,106.548,93.53,80.775,62.595,65.63,64.963,58.828,48.98,40.256,35.276,32.855,30.602
"Albania",8,50,23,23.996,29.1,33.506,36.89,38.336,52.645,59.732,71.681,66.68,76.618,89.683,100.059,101.318,88.215,77.067,70.183,81.327,109.411,104.569,91.809,79.271,61.325,64.381,63.76,57.703,47.951,39.301,34.369,31.976
"Albania",8,55,16,21.714,22.887,28.055,32.193,35.312,36.832,50.571,57.515,62.778,66.927,73.297,81.786,95.676,97.665,85.115,74.573,68.155,79.196,106.884,102.306,89.903,77.668,60.05,63.126,62.566,56.621,47.008,38.472,33.609
"Albania",8,60,17,14.688,20.195,21.584,26.292,29.958,33.014,34.378,47.385,49.667,58.112,63.345,64.85,74.958,91.119,93.309,81.597,71.751,65.728,76.622,103.778,99.554,87.627,75.793,58.616,61.71,61.229,55.441,46.024,37.65
"Albania",8,65,13,14.853,13.067,18.312,19.351,23.271,26.684,29.302,30.696,39.367,44.389,52.847,55.931,58.984,69.704,85.277,87.787,77.13,68.083,62.6,73.294,99.699,95.938,84.643,73.344,56.783,59.889,59.517,53.956,44.826
"Albania",8,70,10,10.484,12.287,11.1,15.258,15.776,19.11,21.771,24.107,23.233,32.117,37.398,46.713,50.486,52.496,62.642,77.267,80.132,70.866,62.943,58.23,68.596,93.835,90.675,80.266,69.741,54.101,57.214,56.996,51.785
"Albania",8,75,6,7.148,7.76,9.424,8.228,10.862,11.336,13.583,15.65,15.838,15.966,23.529,30.636,37.371,41.437,43.717,52.832,65.965,69.2,61.855,55.523,51.866,61.652,84.976,82.598,73.476,64.103,49.927,53.025,53.038
"Albania",8,80,4,3.585,4.474,5.088,5.813,4.741,6.322,6.484,7.875,8.063,9.348,9.241,15.309,20.376,25.763,29.309,31.608,39.034,49.786,53.287,48.583,44.41,42.169,50.825,70.869,69.556,62.383,54.877,43.074,46.112
"Albania",8,85,3,1.813,1.715,2.257,2.518,2.483,2.027,2.624,2.729,2.945,3.413,3.969,4.019,7.567,10.5,13.669,16.116,18.004,23.04,30.415,33.687,31.709,29.837,29.034,35.72,50.707,50.54,46.035,41.108,32.745
"Albania",8,90,2,0.979,0.633,0.637,0.723,0.687,0.679,0.535,0.701,0.655,0.7,0.924,1.031,1.261,2.601,3.712,5.069,6.269,7.364,9.898,13.736,15.954,15.692,15.333,15.407,19.496,28.371,29.006,27.082,24.782
"Albania",8,95,1,0.419,0.22,0.151,0.124,0.114,0.108,0.101,0.081,0.092,0.083,0.104,0.128,0.175,0.242,0.508,0.769,1.115,1.471,1.844,2.651,3.928,4.854,5.041,5.163,5.411,7.111,10.761,11.435,11.097
"Albania",8,100,0,0.121,0.07,0.039,0.02,0.012,0.01,0.009,0.009,0.006,0.006,0.007,0.008,0.01,0.015,0.021,0.045,0.073,0.114,0.162,0.22,0.338,0.539,0.725,0.82,0.897,0.993,1.342,2.109,2.485
"Azerbaijan",31,0,178,272.468,355.978,427.015,394.204,356.681,356.369,409.107,476.73,460.825,370.228,334.112,363.252,444.693,430.405,374.331,344.247,347.697,353.942,343.632,324.56,308.49,298.021,291.403,285.747,278.232,268.609,259.5,252.078,246.084
"Azerbaijan",31,5,128,170.373,262.325,344.442,415.205,385.568,348.719,348.543,401.132,469.108,455.669,366.242,331.81,361.486,442.957,428.705,372.971,343.105,346.651,352.982,342.795,323.854,307.895,297.511,290.959,285.363,277.901,268.325,259.247,251.851
"Azerbaijan",31,10,191,126.945,169.184,260.663,342.483,413.606,384.365,347.909,347.956,401.399,469.968,454.29,369.863,331.065,360.733,442.003,427.837,372.265,342.502,346.088,352.454,342.327,323.453,307.55,297.21,290.694,285.129,277.697,268.148,259.093
"Azerbaijan",31,15,180,189.479,126.086,168.148,259.222,340.814,411.856,375.559,346.89,339.01,401.349,468.04,457.364,369.298,330.16,359.6,440.69,426.638,371.286,341.663,345.302,351.717,341.672,322.89,307.065,296.788,290.324,284.803,277.413,267.903
"Azerbaijan",31,20,164,177.455,187.193,124.723,161.514,250.002,338.379,388.274,346.4,325.93,330.07,404.082,465.797,456.352,367.632,328.358,357.729,438.513,424.644,369.654,340.259,343.985,350.481,340.572,321.943,306.25,296.078,289.701,284.255,276.936
"Azerbaijan",31,25,82,161.449,175.092,184.92,113.4,150.221,240.815,315.127,344.766,333.703,307.111,338.772,406.949,464.314,454.125,365.475,326.509,355.801,436.26,422.577,367.96,338.803,342.621,349.201,339.433,320.964,305.408,295.343,289.055,283.686
"Azerbaijan",31,30,49,80.856,159.508,173.098,177.986,110.258,139.119,230.717,291.806,339.921,322.953,311.356,347.329,404.565,461.924,451.416,363.375,324.705,353.921,434.069,420.572,366.323,337.402,341.311,347.975,338.347,320.033,304.607,294.645,288.44
"Azerbaijan",31,35,68,48.259,79.793,157.448,170.907,177.688,106.923,133.884,220.06,282.002,335.475,321.841,315.189,344.209,401.853,458.54,448.224,360.903,322.589,351.726,431.521,418.254,364.442,335.797,339.815,346.581,337.115,318.976,303.698,293.852
"Azerbaijan",31,40,62,66.682,47.436,78.433,154.771,167.334,176.576,102.144,128.051,207.844,271.278,333.201,320.103,311.091,340.794,397.718,453.979,443.93,357.589,319.766,348.808,428.153,415.205,361.972,333.695,337.863,344.763,335.505,317.595,302.508
"Azerbaijan",31,45,51,60.199,64.951,46.198,76.376,146.361,162.212,170.878,96.457,118.29,193.612,266.252,329.658,313.715,306.098,335.315,391.524,447.159,437.529,352.667,315.585,344.503,423.196,410.722,358.345,330.611,334.998,342.09,333.136,315.558
"Azerbaijan",31,50,52,48.73,57.768,62.281,44.266,69.77,135.737,155.39,162.255,87.397,106.33,185.791,258.835,318.827,305.215,297.938,326.651,381.761,436.453,427.521,344.994,309.09,337.834,415.532,403.8,352.753,325.859,330.584,337.975,329.486
"Azerbaijan",31,55,38,48.418,45.642,54.023,58.161,40.058,61.68,126.242,144.569,144.685,76.381,99.229,174.268,244.408,304.273,291.598,285.05,313.01,366.448,419.718,411.909,333.055,299.002,327.494,403.66,393.083,344.103,318.518,323.772,331.619
"Azerbaijan",31,60,42,33.894,43.547,40.984,48.443,51.041,34.631,54.346,112.516,122.687,123.844,68.178,89.27,159.174,226.01,281.919,270.822,265.439,292.32,343.282,394.428,388.358,315.062,283.829,311.954,385.829,377.015,331.169,307.561,313.604
"Azerbaijan",31,65,34,35.263,28.785,36.95,34.752,39.996,42.184,29.167,45.241,89.706,98.632,103.385,57.722,77.561,139.942,199.351,249.648,240.864,237.201,262.544,309.907,357.974,354.369,289.104,261.908,289.461,360.011,353.757,312.424,291.626
"Azerbaijan",31,70,26,25.971,27.378,22.37,28.751,27.02,30.174,32.673,22.65,32.609,65.331,74.871,79.355,46.169,62.908,114.086,163.529,206.188,200.42,198.937,221.973,264.196,307.747,307.335,252.946,231.155,257.732,323.407,320.542,285.389
"Azerbaijan",31,75,15,16.85,17.254,18.285,15.038,19.628,18.341,20.385,22.206,14.657,19.7,43.131,49.641,55.518,32.846,45.11,82.588,119.619,152.551,150.09,150.835,170.462,205.535,242.708,245.733,205.024,189.98,214.829,273.306,274.416
"Azerbaijan",31,80,7,7.574,8.832,9.254,10.02,8.432,11.407,10.686,12.032,12.173,7.322,10.561,23.165,28.487,32.122,19.23,26.772,49.752,73.246,95.057,95.22,97.492,112.295,138.181,166.569,172.162,146.726,138.961,160.56,208.482
"Azerbaijan",31,85,4,2.488,2.843,3.456,3.765,4.246,3.707,5.214,5.019,5.015,4.666,2.912,4.111,9.965,12.003,13.758,8.385,11.906,22.608,34.068,45.294,46.533,48.9,57.947,73.415,91.151,97.178,85.56,83.717,99.809
"Azerbaijan",31,90,2,0.903,0.606,0.711,0.886,0.993,1.164,1.054,1.529,1.295,1.275,1.168,0.765,1.198,2.681,3.292,3.856,2.407,3.507,6.852,10.638,14.597,15.497,16.895,20.804,27.416,35.51,39.619,36.541,37.414
"Azerbaijan",31,95,0,0.312,0.153,0.103,0.12,0.151,0.177,0.215,0.195,0.229,0.193,0.182,0.181,0.137,0.194,0.444,0.555,0.665,0.425,0.636,1.278,2.048,2.906,3.209,3.649,4.698,6.506,8.908,10.533,10.296
"Azerbaijan",31,100,0,0,0.035,0.02,0.011,0.011,0.014,0.016,0.019,0.018,0.021,0.017,0.017,0.019,0.014,0.02,0.044,0.057,0.07,0.048,0.068,0.135,0.223,0.329,0.383,0.451,0.599,0.868,1.26,1.607
"Armenia",51,0,73,118.585,164.118,174.109,145.703,152.348,167.899,188.96,195.861,146.121,102.244,98.812,108.645,114.366,109.594,97.062,86.826,83.718,85.906,87.855,85.142,78.986,72.863,69.561,68.768,68.646,66.961,63.548,59.645,56.633
"Armenia",51,5,51,76.084,121.735,169.838,181.891,153.104,153.531,165.929,185.064,178.037,139.351,97.64,91.486,107.566,113.741,108.996,96.504,86.313,83.225,85.426,87.382,84.683,78.54,72.429,69.134,68.344,68.225,66.544,63.133,59.233
"Armenia",51,10,94,53.348,79.692,126.227,176.716,186.879,154.392,152.874,161.007,159.089,169.539,134.494,92.363,90.623,107.163,113.343,108.617,96.149,85.98,82.905,85.109,87.072,84.381,78.248,72.145,68.856,68.069,67.953,66.273,62.865
"Armenia",51,15,76,95.867,55.788,82.748,131.867,177.778,185.656,153.342,144.671,129.045,149.409,158.793,126.177,91.446,89.34,105.834,112.023,107.336,94.921,84.795,81.742,83.96,85.933,83.26,77.146,71.06,67.781,67,66.889,65.216
"Armenia",51,20,80,77.896,97.886,58.01,86.764,131.93,177.321,178.337,140.749,108.364,116.978,134.463,142.845,122.359,88.455,86.4,102.848,109.05,104.418,92.084,82.019,79.002,81.239,83.23,80.582,74.498,68.436,65.171,64.4,64.299
"Armenia",51,25,36,81.389,80.027,99.515,60.915,89.066,129.988,166.015,166.101,102.812,94.004,104.197,116.962,138.716,118.598,84.881,82.854,99.262,105.468,100.882,88.614,78.605,75.616,77.867,79.87,77.244,71.184,65.142,61.891,61.128
"Armenia",51,30,20,37.081,82.924,81.732,101.906,64.413,86.524,123.248,157.813,129.577,86.851,85.483,91.317,115.319,135.271,115.283,81.748,79.754,96.118,102.329,97.79,85.591,75.633,72.675,74.937,76.953,74.348,68.311,62.288,59.05
"Armenia",51,35,31,20.635,38.377,84.102,84.219,103.894,61.97,83.737,118.478,125.549,113.148,80.913,76.778,89.684,112.513,132.367,112.553,79.26,77.308,93.619,99.841,95.362,83.248,73.359,70.434,72.712,74.743,72.16,66.151,60.154
"Armenia",51,40,33,30.997,21.382,39.292,85.85,84.952,98.921,59.95,79.734,92.937,109.96,106.43,74.602,74.955,87.218,109.83,129.538,110.022,77.128,75.249,91.482,97.722,93.341,81.364,71.577,68.706,71.006,73.056,70.511,64.547
"Armenia",51,45,29,32.551,30.819,21.773,40.552,85.214,82.011,96.345,56.48,61.241,79.757,101.84,98.751,72.197,72.399,84.481,106.753,126.241,107.222,74.99,73.237,89.345,95.615,91.396,79.633,70.011,67.223,69.555,71.636,69.149
"Armenia",51,50,23,28.124,31.774,30.217,22.259,40.142,83.295,79.086,91.458,43.168,51.096,72.042,92.218,94.441,68.96,69.28,81.116,102.892,122.044,103.789,72.566,71.001,86.918,93.241,89.253,77.809,68.434,65.764,68.138,70.265
"Armenia",51,55,21,21.723,26.82,30.339,29.439,21.907,40.675,79.069,73.738,78.185,35.06,46.041,62.607,86.256,88.698,64.851,65.376,76.881,97.946,116.631,99.453,69.633,68.326,83.982,90.36,86.688,75.691,66.648,64.139,66.572
"Armenia",51,60,26,18.95,19.957,24.704,28.493,27.975,21.75,37.602,71.463,61.354,66.804,31.791,39.697,56.295,78.746,81.35,59.712,60.508,71.547,91.66,109.718,93.951,65.998,65.037,80.321,86.759,83.499,73.081,64.481,62.183
