"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",8,0,94,113.309,139.322,158.189,160.443,167.13,174.124,185.868,202.332,166.471,141.326,111.969,88.651,85.621,83.351,79.501,67.87,58.102,52.75,50.729,49.23,43.946,39.679,35.328,31.882,29.346,27.052,24.441,21.342,18.331
"Albania",8,5,84,89.447,108.83,135.377,154.268,157.927,165.426,172.443,184.378,182.386,162.91,140.446,110.466,83.941,83.858,81.618,78.131,66.871,57.133,51.796,49.786,48.295,43.022,38.761,34.416,30.976,28.442,26.154,23.544,20.448
"Albania",8,10,79,83.178,88.824,108.374,134.903,153.704,157.457,164.848,171.979,169.572,174.059,157.821,138.489,105.07,83.011,82.931,80.882,77.585,66.343,56.619,51.289,49.283,47.797,42.528,38.271,33.929,30.493,27.959,25.673,23.065
"Albania",8,15,66,78.442,82.753,88.536,108.026,134.349,153.158,156.901,164.298,150.759,144.423,160.789,142.36,118.176,102.692,80.685,81.09,79.524,76.242,65.024,55.316,49.995,47.996,46.514,41.251,36.998,32.66,29.227,26.695,24.409
"Albania",8,20,58,65.177,77.688,82.205,87.887,107.201,133.502,152.239,155.989,125.185,115.669,120.635,132.35,128.509,112.795,97.336,76.493,78.011,76.463,73.2,62.007,52.318,47.01,45.017,43.54,38.285,34.037,29.704,26.277,23.746
"Albania",8,25,42,57.059,64.361,77.012,81.393,86.979,106.276,132.42,151.004,106.323,103.936,89.611,98.043,129.007,121.71,106.032,92.02,72.629,74.159,72.63,69.386,58.222,48.554,43.258,41.273,39.801,34.553,30.312,25.984,22.56
"Albania",8,30,40,41.231,56.252,63.731,76.177,80.454,86.131,105.319,131.203,107.852,103.69,89.382,78.713,95.684,123.015,115.742,101.34,88.588,69.269,70.811,69.302,66.078,54.945,45.3,40.016,38.039,36.571,31.332,27.099,22.778
"Albania",8,35,36,39.175,40.584,55.656,62.989,75.248,79.627,85.326,104.326,99.443,114.938,96.958,84.615,79.42,91.139,118.358,112.039,98.609,85.941,66.716,68.278,66.794,63.594,52.499,42.887,37.62,35.651,34.19,28.965,24.74
"Albania",8,40,31,35.126,38.454,40.086,54.926,62.126,74.377,78.788,84.451,82.339,111.773,109.333,90.253,83.142,76.051,87.708,115.396,109.776,96.481,83.927,64.829,66.414,64.958,61.793,50.75,41.175,35.932,33.976,32.525,27.318
"Albania",8,45,25,30.061,34.307,37.838,39.399,53.937,61.166,73.292,77.707,69.297,93.754,107.253,102.545,91.737,80.34,73.392,85.395,113.297,107.813,94.693,82.295,63.367,64.977,63.562,60.438,49.464,39.945,34.736,32.795,31.359
