"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",8,0,181,222.896,273.591,310.076,313.739,326.382,337.915,359.153,392.807,324.176,274.055,215.926,170.249,168.808,165.543,152.02,131.546,114.063,104.05,99.15,94.602,87.449,78.337,69.724,62.925,57.858,53.369,48.477,42.656,36.775
"Albania",8,5,158,172.408,214.308,266.205,302.752,309.104,322.982,334.818,356.541,357.127,317.244,272.573,210.879,160.464,165.362,162.093,149.3,129.566,112.131,102.151,97.273,92.739,85.604,76.504,67.904,61.114,56.054,51.575,46.685,40.867
"Albania",8,10,147,156.276,171.051,213.333,265.218,301.673,308.188,322.034,334.062,330.771,342.834,308.49,268.03,201.076,158.606,163.496,160.611,148.211,128.507,111.095,101.129,96.26,91.733,84.603,75.512,66.918,60.135,55.076,50.598,45.712
"Albania",8,15,122,145.812,155.357,170.454,212.63,264.235,300.722,307.319,321.241,298.891,291.804,320.485,272.797,233.792,196.171,153.777,159.67,157.798,145.429,125.763,108.376,98.426,93.568,89.05,81.929,72.846,64.258,57.481,52.426,47.95
"Albania",8,20,108,120.387,144.335,154.338,169.243,211.204,262.777,299.272,305.998,260.905,241.178,252.226,256.253,246.428,222.709,185.128,145.129,153.325,151.48,139.149,119.516,102.161,92.232,87.383,82.876,75.765,66.692,58.116,51.345,46.293
"Albania",8,25,85,106.174,118.824,143.107,152.892,167.726,209.642,261.08,297.506,230.373,218.736,193.299,201.421,238.316,232.7,209,174.361,137.301,145.507,143.686,131.39,111.798,94.472,84.564,79.728,75.231,68.13,59.068,50.5,43.735
"Albania",8,30,77,83.374,104.614,117.682,141.622,151.345,166.311,208.124,259.343,232.623,216.462,188.654,169.407,177.791,226.527,220.906,199.713,167.585,130.63,138.844,137.046,124.79,105.24,87.948,78.06,73.238,68.746,61.661,52.611,44.051
"Albania",8,35,70,75.353,82,103.501,116.331,140.052,149.941,164.996,206.649,212.107,231.666,204.119,179.82,160.524,169.078,217.633,213.828,194.496,162.509,125.692,133.918,132.153,119.947,100.451,83.212,73.347,68.54,64.062,56.995,47.96
"Albania",8,40,63,68.271,73.909,80.964,102.117,114.814,138.504,148.51,163.615,174.19,216.238,222.714,190.081,176.59,154.211,162.721,212.239,209.719,190.564,158.77,122.144,130.384,128.66,116.523,97.106,79.924,70.099,65.313,60.854,53.812
"Albania",8,45,49,61.116,66.652,72.706,79.559,100.353,113.101,136.661,146.783,141.392,178.043,209.071,209.46,190.065,171.531,149.403,158.672,208.683,206.312,187.391,155.864,119.497,127.747,126.077,114.032,94.721,77.624,67.853,63.096,58.664
