"country","country_code","age","1955","1960","1965","1970","1975","1980","1985","1990","1995","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Albania",8,0,181,222.886,273.579,310.064,313.688,326.076,337.15,357.912,391.123,322.168,271.508,212.557,166.128,163.524,160.077,146.234,125.294,107.484,97.447,92.835,88.692,81.849,72.89,64.332,57.604,52.671,48.358,43.626,37.944,32.151
"Albania",8,5,158,172.408,214.297,266.192,302.74,309.052,322.681,334.058,355.304,355.451,315.243,270.033,207.513,156.35,160.089,156.639,143.525,123.325,105.562,95.556,90.966,86.836,80.01,71.062,62.515,55.797,50.871,46.566,41.838,36.159
"Albania",8,10,147,156.276,171.051,213.323,265.205,301.66,308.137,321.732,333.302,329.533,341.159,306.491,265.492,197.714,154.496,158.229,155.162,142.441,122.27,104.531,94.538,89.956,85.833,79.011,70.072,61.531,54.82,49.895,45.591,40.867
"Albania",8,15,122,145.812,155.357,170.454,212.621,264.222,300.709,307.268,320.938,298.129,290.563,318.808,270.8,231.257,192.812,149.671,154.409,152.355,139.665,119.53,101.817,91.84,87.268,83.154,76.34,67.409,58.873,52.169,47.247,42.945
"Albania",8,20,108,120.387,144.335,154.338,169.243,211.194,262.764,299.258,305.946,260.6,240.414,250.981,254.576,244.433,220.177,181.773,141.027,148.07,146.043,133.391,113.29,95.609,85.652,81.088,76.985,70.18,61.258,52.734,46.036,41.117
"Albania",8,25,85,106.174,118.824,143.107,152.892,167.726,209.632,261.066,297.489,230.318,218.428,192.533,200.174,236.638,230.706,206.469,171.009,133.203,140.258,138.257,125.639,105.579,87.928,77.991,73.438,69.346,62.55,53.639,45.122,38.43
"Albania",8,30,77,83.374,104.614,117.682,141.622,151.345,166.311,208.112,259.326,232.603,216.404,188.344,168.641,176.54,224.848,218.912,197.184,164.236,126.537,133.603,131.625,119.047,99.028,81.413,71.495,66.955,62.868,56.085,47.186,38.678
"Albania",8,35,70,75.353,82,103.501,116.331,140.052,149.941,164.996,206.636,212.087,231.644,204.059,179.51,159.756,167.824,215.954,211.836,191.97,159.164,121.605,128.687,126.743,114.216,94.252,76.688,66.792,62.266,58.193,51.426,42.541
"Albania",8,40,63,68.271,73.909,80.964,102.117,114.814,138.504,148.51,163.615,174.175,216.216,222.69,190.019,176.277,153.442,161.465,210.562,207.731,188.043,155.433,118.067,125.169,123.265,110.807,90.923,73.415,63.558,59.052,54.997,48.253
"Albania",8,45,49,61.116,66.652,72.706,79.559,100.353,113.101,136.661,146.783,141.392,178.026,209.047,209.434,189.999,171.215,148.633,157.413,207.008,204.33,184.878,152.538,115.435,122.552,120.704,108.338,88.562,71.138,61.332,56.854,52.823
